BabyId,FirsttimeParent,Crying date,Crying time,Crying seconds,Feeding date,Feeding time,Bottle amount,PumpingDate,PumpingTimePumpingLeftPumpingRight,Pumping Left,PumpingRight,SleepingDate,SleepingTime,SleepingSecond
HPT2_NR_16,1,05-08-2015,20:31:47,900,05-08-2015,20:31:47,180,05-08-2015,20:31:47,40,30,05-08-2015,20:31:47,5153.979043
HPT2_NR_16,1,05-08-2015,23:33:46,600,05-08-2015,23:33:46,180,05-08-2015,23:33:46,50,35,05-08-2015,23:33:46,33365.11196
HPT2_NR_16,1,06-08-2015,10:20:00,916,06-08-2015,10:20:00,180,06-08-2015,10:20:00,NA,NA,06-08-2015,10:20:00,2100
HPT2_NR_16,1,06-08-2015,11:30:00,300,06-08-2015,11:30:00,35,06-08-2015,11:30:00,NA,NA,06-08-2015,11:30:00,1200
HPT2_NR_16,1,06-08-2015,12:15:00,600,06-08-2015,12:15:00,180,06-08-2015,12:15:00,NA,NA,06-08-2015,12:15:00,4800
HPT2_NR_16,1,06-08-2015,17:45:00,NA,06-08-2015,17:45:00,180,06-08-2015,17:45:00,NA,NA,06-08-2015,17:45:00,2100
HPT2_NR_16,1,06-08-2015,19:20:00,NA,06-08-2015,19:20:00,180,06-08-2015,19:20:00,NA,NA,06-08-2015,19:20:00,1500
HPT2_NR_16,1,06-08-2015,19:45:00,NA,06-08-2015,19:45:00,180,06-08-2015,19:45:00,NA,NA,06-08-2015,19:45:00,1520
HPT2_NR_16,1,06-08-2015,22:30:00,NA,06-08-2015,22:30:00,180,06-08-2015,22:30:00,NA,NA,06-08-2015,22:30:00,4200
HPT2_NR_16,1,07-08-2015,00:22:03,NA,07-08-2015,00:22:03,180,07-08-2015,00:22:03,NA,NA,07-08-2015,00:22:03,32249.39401
HPT2_NR_16,1,07-08-2015,11:30:00,NA,07-08-2015,11:30:00,180,07-08-2015,11:30:00,NA,NA,07-08-2015,11:30:00,1200
HPT2_NR_16,1,07-08-2015,12:15:38,NA,07-08-2015,12:15:38,180,07-08-2015,12:15:38,NA,NA,07-08-2015,12:15:38,2700
HPT2_NR_16,1,07-08-2015,15:01:06,NA,07-08-2015,15:01:06,180,07-08-2015,15:01:06,NA,NA,07-08-2015,15:01:06,3601.849699
HPT2_NR_16,1,07-08-2015,18:12:21,NA,07-08-2015,18:12:21,180,07-08-2015,18:12:21,NA,NA,07-08-2015,18:12:21,2424.942908
HPT2_NR_16,1,07-08-2015,20:56:39,NA,07-08-2015,20:56:39,180,07-08-2015,20:56:39,NA,NA,07-08-2015,20:56:39,2040
HPT2_NR_16,1,07-08-2015,23:30:00,NA,07-08-2015,23:30:00,180,07-08-2015,23:30:00,NA,NA,07-08-2015,23:30:00,36000
HPT2_NR_16,1,08-08-2015,11:40:00,NA,08-08-2015,11:40:00,180,08-08-2015,11:40:00,NA,NA,08-08-2015,11:40:00,1800
HPT2_NR_16,1,08-08-2015,13:30:00,NA,08-08-2015,13:30:00,180,08-08-2015,13:30:00,NA,NA,08-08-2015,13:30:00,9900
HPT2_NR_16,1,08-08-2015,18:29:42,NA,08-08-2015,18:29:42,180,08-08-2015,18:29:42,NA,NA,08-08-2015,18:29:42,2883.681481
HPT2_NR_16,1,08-08-2015,21:15:41,NA,08-08-2015,21:15:41,180,08-08-2015,21:15:41,NA,NA,08-08-2015,21:15:41,114.492544
HPT2_NR_16,1,08-08-2015,21:18:28,NA,08-08-2015,21:18:28,180,08-08-2015,21:18:28,NA,NA,08-08-2015,21:18:28,1931.088008
HPT2_NR_16,1,08-08-2015,23:21:43,NA,08-08-2015,23:21:43,180,08-08-2015,23:21:43,NA,NA,08-08-2015,23:21:43,34200
HPT2_NR_16,1,09-08-2015,10:10:00,NA,09-08-2015,10:10:00,180,09-08-2015,10:10:00,NA,NA,09-08-2015,10:10:00,1800
HPT2_NR_16,1,09-08-2015,12:00:00,NA,09-08-2015,12:00:00,165,09-08-2015,12:00:00,NA,NA,09-08-2015,12:00:00,1200
HPT2_NR_16,1,09-08-2015,13:31:02,NA,09-08-2015,13:31:02,180,09-08-2015,13:31:02,NA,NA,09-08-2015,13:31:02,2640
HPT2_NR_16,1,09-08-2015,14:30:00,NA,09-08-2015,14:30:00,180,09-08-2015,14:30:00,NA,NA,09-08-2015,14:30:00,3600
HPT2_NR_16,1,09-08-2015,16:15:00,NA,09-08-2015,16:15:00,180,09-08-2015,16:15:00,NA,NA,09-08-2015,16:15:00,1500
HPT2_NR_16,1,09-08-2015,18:00:00,NA,09-08-2015,18:00:00,180,09-08-2015,18:00:00,NA,NA,09-08-2015,18:00:00,4200
HPT2_NR_16,1,09-08-2015,21:00:00,NA,09-08-2015,21:00:00,180,09-08-2015,21:00:00,NA,NA,09-08-2015,21:00:00,6300
HPT2_NR_16,1,09-08-2015,23:25:00,NA,09-08-2015,23:25:00,180,09-08-2015,23:25:00,NA,NA,09-08-2015,23:25:00,1500
HPT2_NR_16,1,10-08-2015,00:00:00,NA,10-08-2015,00:00:00,180,10-08-2015,00:00:00,NA,NA,10-08-2015,00:00:00,33600
HPT2_NR_16,1,10-08-2015,10:32:38,NA,10-08-2015,10:32:38,180,10-08-2015,10:32:38,NA,NA,10-08-2015,10:32:38,8096.222611
